,city_from,city_to,weight
593,Екатеринбург,Санкт-Петербург,1.0
594,Колпино,Владимир,2.0
595,Санкт-Петербург,Тюмень,0.5
596,Дзержинский,Екатеринбург,2.0
597,Москва,Екатеринбург,0.1
598,Ростов-на-Дону,Ставрополь,0.1
599,Москва,Москва,1.0
600,Зеленоград,Орел,1.8
601,Санкт-Петербург,Красное Село,0.1
602,Москва,Тверь,1.52
603,Москва,Анапа,0.5
604,Москва,Рыбинск,5.62
605,Москва,Лобня,4.52
606,Санкт-Петербург,Москва,1.0
607,Москва,Чистополь,2.58
608,Москва,Томилино,8.4
609,Дзержинский,Пермь,2.0
610,Тольятти,Оренбург,12.5
611,Москва,Нижний Новгород,0.1
612,Москва,Севастополь,2.88
613,Зеленокумск,Мисайлово,0.2
614,Челябинск,Тюмень,1.0
615,Москва,Ярославль,0.5
616,Дзержинский,Волгоград,2.0
617,Тосно,Пятигорск,3.0
618,Самара,Ростов-на-Дону,1.0
619,Пушкино,Саратов,0.3
620,Тверь,Черноголовка,0.5
621,Ростов-на-Дону,Москва,0.1
622,Санкт-Петербург,Белореченск,1.2
623,Дзержинский,Новокузнецк,2.0
624,Красногорск,Южно-Сахалинск,0.5
625,Санкт-Петербург,Казань,0.1
626,Санкт-Петербург,Санкт-Петербург,0.9
627,Дзержинский,Минеральные Воды,2.0
628,Москва,Красноярск,1.9
629,Ростов-на-Дону,Уфа,0.1
630,Москва,Минск,0.3
631,Минск,Тюмень,0.9
632,Астрахань,Омск,0.1
633,Волжский,Видное,1.0
634,Москва,Пушкино,0.1
635,Люберцы,Челябинск,0.7
636,Смоленск,Минск,5.7
637,Москва,Вологда,1.6
638,Минск,Тамань,2.5
639,Москва,Рязань,0.5
640,Москва,Курган,0.1
641,Ногинск,Абакан,50.0
642,Красногорск,Нижневартовск,0.5
643,Минск,Чита,0.7
644,Санкт-Петербург,Химки,0.1
645,Ростов-на-Дону,Брянск,0.1
646,Пушкин,Москва,15.0
647,Москва,Москва,0.2
648,Санкт-Петербург,Санкт-Петербург,0.5
649,Санкт-Петербург,Москва,0.5
650,Нижний Новгород,Москва,3.0
651,Анапа,Рубцовск,0.6
652,Москва,Екатеринбург,3.64
653,Нижний Новгород,Самара,1.0
654,Домодедово,Астрахань,0.3
655,Санкт-Петербург,Сергиев Посад,0.5
656,Москва,Симферополь,0.6
657,Дзержинский,Саров,2.0
658,Красногорск,Саратов,0.5
659,Краснодар,Липецк,1.0
660,Москва,Смоленск,1.0
661,Дзержинский,Славянск-на-Кубани,2.0
662,Санкт-Петербург,Домодедово,0.1
663,Видное,Иваново ,0.5
664,Пушкино,Москва,0.3
665,Красногорск,Рязань,0.5
666,Дзержинский,Омск,2.0
667,Челябинск,Ясный,1.7
668,Йошкар-Ола,Набережные Челны,0.3
669,Великие Луки,Нижний Новгород,1.3
670,Минск,Москва,11.08
671,Дзержинский,Пенза,2.0
672,Санкт-Петербург,Томск,0.2
673,Анапа,Сочи,3.0
674,Пушкино,Москва,0.3
675,Дзержинский,Нижний Новгород,2.0
676,Москва,Кандалакша,0.095
677,Москва,Починки,1.0
678,Домодедово,Казань,0.3
679,Москва,Тамбов,0.12
680,Чебоксары,Москва,0.3
681,Санкт-Петербург,Санкт-Петербург,0.1
682,Красногорск,Бердск,0.5
683,Дзержинский,Красноярск,2.0
684,"Солнцево, р-н",Санкт-Петербург,13.5
685,Нижний Новгород,Санкт-Петербург,3.0
686,Красногорск,Москва,0.5
687,Домодедово,Ульяновск,3.0
688,Подольск,Пушкино,0.2
689,Дзержинский,Энгельс,3.0
690,Москва,Москва,3.78
691,"Солнцево, р-н",Смоленск,0.5
692,Москва,Москва,1.0
693,Самара,Мытищи,10.0
694,Дзержинский,Тамбов,2.0
695,Симферополь,Махачкала,0.5
696,Самара,Мытищи,10.0
697,Дзержинский,Пятигорск,2.0
698,Красногорск,Ижевск,0.5
699,Серпухов,Самара,0.5
700,Москва,Верх-Тула,1.235
701,Москва,Мурино,1.0
702,Москва,Нижний Новгород,0.3
703,Дзержинский,Кисловодск,2.0
704,Челябинск,Арзамас,0.75
705,Дзержинский,Нальчик,2.0
706,Красногорск,Нижний Новгород,0.5
707,Москва,Липецк,1.02
708,Санкт-Петербург,Севастополь,1.0
709,Пушкино,Москва,0.3
710,Подольск,Брянск,1.0
711,Москва,Новоуральск,1.0
712,Москва,Хабаровск,0.5
713,Красногорск,Комсомольск-на-Амуре,0.5
714,Санкт-Петербург,Видное,1.02
715,Москва,Набережные Челны,3.7
716,Санкт-Петербург,Москва,0.5
717,Подольск,Константиновск,1.0
718,Пушкино,Москва,0.3
719,Казань,Нефтекамск,2.5
720,Москва,Краснодар,1.0
721,Дзержинский,Нефтекамск,2.0
722,Москва,Воронеж,0.2
723,Москва,Металлострой,1.72
724,Москва,Ульяновск,1.5
725,Нижний Новгород,Москва,1.0
726,Подольск,Пермь,3.0
727,Тосно,"Тимашевск, Тимашевский р-н",1.0
728,Волгоград,Ульяновск,0.5
729,Санкт-Петербург,Майкоп,15.4
730,Липецк,Новосибирск,1.0
731,Дзержинский,Сергиев Посад,2.0
